,Week1,Week,Date,Topic,Read Before Class,Watch Before Class,In-Class Activity,Homework/Submission,,
WHY ARE WE FASCINATED BY TROPICAL RAIN FORESTS?,Week ,1,24-Aug,Introductions,-,-,"Introductions Fill out the questionaire, ""Move-around"" activity to get to know each other","Submit paragraph of expectations/concerns, “free lists” of words, and list of streaming services",,
,,,26-Aug,Rain forest stereotrypes,Juniper Ch. 12-13 (pp 220-253),-,review of artwork and historical narratives,,,
,,,,,Raby 2017 (pp 216-223),-,,,,
,Week ,2,31-Aug,Rain forests in High & Popular Culture,Earnhart 2007 (pp 341-352),-,"activity related to movies, songs, etc. that we have watched, seen, etc.",,,
,,,2-Sep,At the movies: Rainforest Tropes,-,-,"watch movie, play bingo",submit bingo card,,
THE ORIGINS AND MAINTENANCE OF TROPICAL BIODIVERSITY,Week ,3,7-Sep,What is a rain forest?,Juniper Ch. 4 (pp 76-102),-,,,,
,,,9-Sep,The geological history of rain forests,-,-,,,,
,Week ,4,14-Sep,Patterns of Biodiversity,Juniper Ch. 1-3 (pp 15-75),-,working with biodfiversity data to plot latitudinal patterns and local patterns. Each groupw orks with diofferent taxon. Maybe give one an exception like salamanders,,,
,,,16-Sep,Coevolution and the origins of tropical biodiversity,-,-,butterfly rainforest,,,
,Week ,5,21-Sep,Forest disturbance and dynamics,Staver et al. 2011 (pp 230-232),-,staver paper - summary,,,
,,,23-Sep,The maintenance of tropical biodiversity,-,-,jabnen connel excersie?,,,
,Week ,6,28-Sep,The Paradox of Luxuriance,Juniper Ch. 6 (pp 125-137),-,,,,
,,,30-Sep,DURIAN FEST 2021 (with visit from the Lubee Conservancy’s Fruit Bats),"Lawal 2020 (online article, ~2400 words)",-,durian fest,,,
,Week ,7,5-Oct,Why should I care about Tropical Rain Forests?,Juniper Ch 5 (pp 106-124),-,,,,
,,,7-Oct,The History of Human Occupation in Rain Forests ,-,-,,,,
HUMANS AND RAIN FORESTS,Week ,8,12-Oct,How did humans alter forests in the past?,Heckenberger et al. 2003 (pp 1710-1714) OR Levis et al. 2017 (pp 925-931),-,heckenberger article,,,
,,,14-Oct,How are humans altering forests today?,"Nolen 2018 (online article, ~9000 words)",-,"exercise with data - human pop size, miovement, migration",,,
,,,,,Juniper Ch. 7 (pp 138-153),-,,,,
,,,,,Juniper Ch. 19 (pp 345-354),-,,,,
,Week ,9,19-Oct,"Drivers of Deforestation: Infrastructure, Agriculture, & Demand from the Temperate Zone",Juniper Ch. 15-17 (pp 278-330),-,analysis of deforestation data https://www.globalforestwatch.org/,https://serc.carleton.edu/earthlabs/carbon/lab_4.html,https://ourworldindata.org/deforestation,https://mynasadata.larc.nasa.gov/lesson-plans/investigating-deforestation-through-earth-systems-view-using-landsat
,,,21-Oct,"Consequences of Deforestation: Fire, Smoke, and Human Health",Nepstad et al. 2001 (pp 395-407),-,mapping fire or emerging pathogens,,,
,Week ,10,26-Oct,Consequences of Deforestation: Forest Degradation and the Loss of Biodiversity,-,-,nolen convo?,,,
,,,28-Oct,Consequences of Deforestation: Climate Change,-,-,https://www.climateinteractive.org/tools/en-roads/,,https://www.climateinteractive.org/tools/guided-assignment/,
,Week ,11,2-Nov,What can we do?,Juniper Ch 8-10 (pp 154-203),-,https://www.learngala.com/cases/sustainable-agricultural-commodities,nigel sizer?,,
,,,4-Nov,Macro-level efforts: protected areas and international collaboration,-,-,redd,,,
THE FUTURE OF RAIN FORESTS,Week ,12,9-Nov,Can we restore rain forests?,"Juniper, Ch. 20-22  (pp 355-371)",-,https://www.learngala.com/cases/restoring-tropical-forests,,,
,,,11-Nov,NO CLASS - HOLIDAY,-,-,,,,
,Week ,13,16-Nov,"Local Initiatives, Empowered Communities",Juniper Ch. 14 (pp. 254-274),-,https://www.learngala.com/cases/bolivia-forests,,,nigel sizer
,,,,,Juniper Ch. 18 (pp. 331-342),-,,,,cocoa certification
,,,18-Nov,Individual Actions and Consumner Choices,-,-,https://www.learngala.com/cases/palm-oil-rspo ,"certified coffee,timber, palm oil ",,palm oil
,Week ,14,23-Nov,Work Day – Team Project,-,-,,,,activists
,,,25-Nov,NO CLASS – HOLIDAY,-,-,,,,policy people
,Week ,15,30-Nov,What will I do?,-,-,,,,ane alencar
,,,2-Dec,What will we do?,-,-,,,,Dr Erika Berenguer
,,Final Exam,,"Optional, will only count if it improves your grade.",,,,,,Ana Cristina Barros