Week,Date,Activity,Topic,Work Due
,,,WHY ARE WE FASCINATED BY TROPICAL ,
1,24-Aug,Topic,Introduction to each other and the course. What is a ‘tropical rain forest’?,
,,Summary,"Goal: To quantify and discuss preconceived notions about tropical rain forests, then learn the different ways biologists define the “tropics” and how the structure and dynamics of tropical rain forests differ from those of other forest types.",
,,Readings/Works,none,
,,Assignment,Submit paragraph of expectations/concerns and “free list” generated during class,
,26-Aug,Topic,Where do stereotypes about rain forests come from?,
,,Summary,Goal: To introduce and discuss how historical narratives have shaped contemporary perceptions of tropical rain forests and the colonial roots of tropical biology,
,,Readings/Works,Juniper Ch. 12-13 (pp 220-253); Raby 2017 (pp 216-223),
,,Assignment,1.  Sign up to watch & review one movie from each of the three categories on the Rain Forest Movie List. (All movies are feature films; most have run times of 90-120 minutes; some of the options are longer). 2.  Download Movie Review Forms,
2,31-Aug,Topic,"Rain forests in High & Popular Culture: Joseph Conrad, Guns ‘n’ Roses, Avatar, & more.",
,,Summary,"Goal: To compare the presentations of rain forests in literature, art, film, and music and evaluate how these depictions have influenced popular perception of rain forests.",
,,Readings/Works,Earnhart 2007 (pp 341-352),
,,Assignment,Continue watching and Reviewing Movies,
,2-Sep,Topic,At the movies: Rainforest Tropes and Stereotypes,
,,Summary,Compare Movie Reviews and Present to the Class,
,,Readings/Works,none ,
,,Assignment,Movie Reviews Due,
,,,THE ORIGINS AND MAINTENANCE OF TROPICAL BIODIVERSITY,
3,7-Sep,Topic,Why are there so many species in tropical rain forests? ,
,,Summary,"Goal: An overview of rain forest biodiversity, diversity gradients, and  local patterns of species richness and abundance in tropical forests; hypothesized mechanisms for the origins of tropical diversity. ",
,,Readings/Works,Juniper Ch. 1-3 (pp 15-75),
,,Assignment,"In-class project: plotting biodiversity data to infer gradient and local diversity patterns, Comparing with Raven et al. 2020)",
,9-Sep,Topic,Goal: To observe and catalog the diversity of plant and animal life forms that can be found in rain forests,
,,Summary,Juniper Ch. 4 (pp 76-102),
,,Readings/Works,--,
,,Assignment,"Visit to FLMNH, questionnaire on plant form and function; (This can be completed independently if you cannot make it due to other time commitments).",
4,14-Sep,Topic,How did rain forests become rain forests? ,
,,Summary,"Goal: to understand the geological history of tropical rain forests, how climate, fire, and geological history drive the tipping point between forests and savannas, and how this biogeographic, geological, and climatic history shaped the evolution of tropical plants and animals",
,,Readings/Works,None,
,,Assignment,In class Biogeography Exercise ,
,16-Sep,Topic,Savanna-Forest Boundaries and Fluctuations,
,,Summary,Discussion of article by Staver et al. ,
,,Readings/Works,Staver et al. 2011 (pp 230-232),
,,Assignment,Article Summary ,
5,21-Sep,Topic,Interspecific Interactions and the Evolution of Tropical Biodiversity,
,,Summary,Goal: to understand how interspecific interactions led to the (co)evolution and diversification of tropical biodiversity [today: plant-herbivore interactions],
,,Readings/Works,none,
,,Assignment,none,
,23-Sep,Topic,Interspecific Interactions and the Evolution of Tropical Biodiversity,
,,Summary,Discussion of article by Salazar et al.,
,,Readings/Works,Salazar et al. 2018 (pp 983–990),
,,Assignment,Article Summary,
6,28-Sep,Topic,Interspecific Interactions and the Evolution of Tropical Biodiversity (cont.),
,,Summary,Goal: to understand how interspecific interactions led to the (co)evolution and diversification of tropical biodiversity [today: pollination and seed dispersal mutualisms],
,,Readings/Works,none,
,,Assignment,"In class exercise: Pollination Syndromes, networks, and specialization risk",
,30-Sep,Topic,"Leaf-cutter ants, figs, and other keystone species",
,,Summary,"Goal: An introduction to “keystone species”, some examples from rain forests, and an examination of their ecological importance and prevalence. ",
,,Readings/Works,--,
,,Assignment,--,
7,5-Oct,Topic,Interspecific Interactions and the Evolution of Tropical Biodiversity,
,,Summary,The maintenance of tropical biodiversity,
,,Readings/Works,Goal: to review the biotic and abiotic mechanisms that permit the coexistence of so many species.  ,
,,Assignment,In class exercise on Janzen-Connell,
,7-Oct,Topic,The maintenance of tropical biodiversity,
,,Summary,Discussion of article by Bagchi et al.,
,,Readings/Works,Bagchi et al. 2014 (pp 85–88),
,,Assignment,Article Summary,
,,,HUMANS AND TROPICAL RAIN FORESTS,
8,12-Oct,Topic,DURIAN FEST 2021 (with visit from the Lubee Conservancy’s Fruit Bats),
,,Summary,Goal: To try Durian. Probably end up eating mango or açai instead. Also enjoy some coffee and chocolate. Be amazed by Fruit Bats.,
,,Readings/Works,"Lawal 2020 (online article, ~2400 words)",
,,Assignment,Download “Tropical Products Census” Sheet and Instructions,
,14-Oct,Topic,What is the Paradox of Luxuriance?,
,,Summary,"Goal: To understand how such a productive biome can be built on such terrible soils, and explore the implications of this “Paradox of Luxuriance”",
,,Readings/Works,Juniper Ch. 6 (pp 125-137),
,,Assignment,none,
9,19-Oct,Topic,Who lives in rain forests and how did humans historically modify rainforests?,
,,Summary,Goal: To understand the history of human occupation of rain forests including the contemporary demographic transition from rural to urban occupation; to review the different ways in which humans have historically modified rain forests and how this has shaped current rain forest biodiversity.,
,,Readings/Works,"Levis et al. 2017 (pp 925-931),Juniper Ch. 5 (pp 106-124)",
,,Assignment,In class exercise on rural-urban shift and tropical megacities,
,21-Oct,Topic,Tropical Cities (then and now),
,,Summary,Discussion of article by Heckenberger et al.,
,,Readings/Works,Heckenberger et al. 2003 (pp 1710-1714),
,,Assignment,Article Summary,
10,26-Oct,Topic,How do humans alter rain forests today?,
,,Summary,"Goal: to understand the activities of contemporary humans that are altering rain forests, the socio-economic drivers of these the activities, and compare how vary across the tropics",
,,Readings/Works,"Nolen 2018 (online article, ~9000 words), Juniper Ch. 7 (pp 138-153), Juniper Ch. 19 (pp 345-354)",
,,Assignment,Questions for in-class conversation with Stephanie Nolen ,
,28-Oct,Topic,How do humans alter rain forests today? (cont.),
,,Summary,"Goal: learn how deforestation and other human activities alter the structure and functioning of rain forests, savannaization",
,,Readings/Works,Juniper Ch. 15-17 (pp 278-330),
,,Assignment,Tropical Products Census due today,
11,2-Nov,Topic,What are the global consequences of deforestation?,
,,Summary,"Climate change, drought, smoke ",
,,Readings/Works,Nepstad et al. 2001 (pp 395-407),
,,Assignment,Begin In-Class exercise with Deforestation Data from https://www.globalforestwatch.org/ and https://www.unbiodiversitylab.org/ ,
,4-Nov,Topic,What are the global consequences of deforestation? (cont.),
,,Summary,"Human health, zoonotic diseases, climate migration",
,,Readings/Works,none,
,,Assignment,Complete In-Class exercise with Deforestation Data from https://www.globalforestwatch.org/,
,,,THE FUTURE OF TROPICAL RAIN FORESTS,
12,9-Nov,Topic,What is being done to prevent further deforestation?,
,,Summary,"Goal: to learn about the major local, national, and multi-national approaches to reducing deforestation by comparing their efficacy and socioeconomic impacts. REDD and Payment for Ecosystem Services",
,,Readings/Works,Phillips et al. 2017 (pp 1-9),
,,Assignment,In class exercise: mapping climate solutions with https://nature4climate.org/n4c-mapper/ ,
,11-Nov,Topic,NO CLASS - HOLIDAY,
,,Summary,-,
,,Readings/Works,-,
,,Assignment,-,
13,16-Nov,Topic,What can we do? ,
,,Summary,Goal: To review and implement some of the actions that we can take to ensure the sustainability of tropical rain forests,
,,Readings/Works,Juniper Ch 8-10 (pp 154-203),
,,Assignment,"https://www.rainforest-alliance.org/everyday-actions (website); Questions for in-class Discussion with Nigel Sizer, Rainforest Alliance; Download and Discuss Final Project (group campaign and personal action; due Dec 2)",
,18-Nov,Topic,Can rain forests recover or be restored?,
,,Summary,Goal: to learn the difference between passive regeneration and active restoration and assess evidence for whether they can be used to reverse the effects of deforestation,
,,Readings/Works,"Juniper, Ch. 20-22  (pp 355-371)",
,,Assignment,In-class exercise:  Estimate carbon stocks of regenerating forest using forest cover data from Global Forest Watch and allometric equations (based on Cook-Patton et al 2020),
14,23-Nov,Topic,Work Day – Team Project,
,,Summary,Day for Groups to work on project and get feedback from the instructor. ,
,,Readings/Works,-,
,,Assignment,-,
,25-Nov,Topic,NO CLASS – HOLIDAY,
,,Summary,-,
,,Readings/Works,-,
,,Assignment,-,
15,30-Nov,Topic,"Ecotourism, Shade Grown Coffee, and other local initiatives",
,,Summary, Explore Community-Based Approaches to Conservation ,
,,Readings/Works,Juniper Ch. 14 (pp. 254-274); Juniper Ch. 18 (pp. 331-342),
,,Assignment,In-class exercise: Learning Gala Case Study “How do economic factors impact land usage decisions of Ghanaian cocoa farmers?” https://www.learngala.com/cases/ghana-cocoa-complications ,
,2-Dec,Topic,What can I do?,
,,Summary,Presentations of Class Projects with tasting of Fairtrade and Rainforest Certified Coffee and Beverages.,
,,Readings/Works,none,
,,Assignment,Presentation of Final Project Campaigns and Personal Projects,
Finals Week,,Final,"Optional, will only count if it improves your grade.",